word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
spurt	spRt	7.4251213860500815	3	3173	spR	9.474148160656645	t	1.0589451792400202	0
spunk	spVNk	8.273493435334801	4	3179	spVN	9.008428622070582	k	1.389232030394151	0
spunky	spVNki	10.183871417268225	5	3179	spVNk	10.25266543245025	i	1.0037427799968084	1
spud	spVd	8.092854096138577	3	3175	spV	10.150413661718444	d	1.0782899628472473	0
spun	spVn	8.542508251341378	3	3179	spV	10.150413661718444	n	1.1019361665300267	-1
sponge	spVnJ	8.594842230194057	4	3182	spVn	7.426264754702098	J	1.5402271889897194	0
spongy	spVnJi	12.040059480997511	5	3182	spVnJ	5.126332716225125	i	1.0037427799968084	1
spongiform	spVnJxfcrm	1.4713231877707027	5	3182	spVnJ	5.126332716225125	xfcrm	1.0	-1
sputter	spVtR	8.481882630707664	4	3179	spVt	10.522581531254831	R	1.0987519712878187	0
sputtering	spVtRxN	9.88496026460985	5	3179	spVtR	10.46862404291802	xN	0.9608545890204996	-1
spouse	spWs	7.857714316801912	3	3169	spW	7.636632614499419	s	1.0902453786971327	0
spout	spWt	8.998146930723388	3	3169	spW	7.636632614499419	t	1.0589451792400202	0
spousal	spWzxl	10.312259583153738	3	3169	spW	7.636632614499419	zxl	2.723308333814104	-1
spy	spY	7.6045462177367344	2	3187	sp	7.035929411132368	Y	1.4706645257033515	0
spider	spYdR	7.9486813674238	3	3187	spY	7.406249382205486	dR	1.5255156230164846	0
spyglass	spYgl@s	4.888297223095362	3	3187	spY	7.406249382205486	gl@s	1.7509775004326937	1
spike	spYk	8.36592315941065	3	3191	spY	7.406249382205486	k	1.389232030394151	0
spiky	spYki	11.84277738885192	4	3191	spYk	10.52147512882654	i	1.0037427799968084	1
spiked	spYkt	6.879893560861893	4	3191	spYk	10.52147512882654	t	1.0589451792400202	-1
spiking	spYkxN	9.46386818241399	4	3191	spYk	10.52147512882654	xN	0.9608545890204996	-1
spine	spYn	7.915790207531419	3	3191	spY	7.406249382205486	n	1.1019361665300267	0
spiny	spYni	11.284998183689728	4	3191	spYn	8.37923148104291	i	1.0037427799968084	1
spineless	spYnlxs	10.181661365794241	4	3191	spYn	8.37923148104291	lxs	1.2627951807096793	1
spinal	spYnxl	8.352911569113088	4	3191	spYn	8.37923148104291	xl	0.7997765412331035	1
spire	spYr	5.607250160289921	3	3190	spY	7.406249382205486	r	1.5165513584881885	0
spiral	spYrxl	7.226833667256002	5	3194	spYrx	9.73809225962049	l	0.9933501369082647	1
spiralling	spYrxlxN	10.68929986282852	6	3194	spYrxl	10.46862404291802	xN	0.9608545890204996	-1
spice	spYs	8.553315685614415	3	3190	spY	7.406249382205486	s	1.0902453786971327	0
spicy	spYsi	9.990864165315363	4	3190	spYs	10.547900671780798	i	1.0037427799968084	1
spiced	spYst	10.396685012340255	4	3190	spYs	10.547900671780798	t	1.0589451792400202	-1
spite	spYt	8.16702041478233	3	3189	spY	7.406249382205486	t	1.0589451792400202	0
spiteful	spYtfxl	11.289097284228253	4	3189	spYt	5.700439718141092	fxl	0.9971081732156069	1
spyware	spYwEr	10.373576152285281	3	3187	spY	7.406249382205486	wEr	1.775937201418127	-1
spying	spYxN	7.527090653210307	3	3187	spY	7.406249382205486	xN	0.9608545890204996	-1
spa	spa	7.062528683680758	2	3191	sp	7.035929411132368	a	2.1261614270190172	0
sponsor	spansR	8.17784409354553	5	3206	spans	10.522581531254831	R	1.0987519712878187	0
